seed,node,peer,source,destination,sequence,hop_sequence,admission_s,admission_event_index,threshold_at_admission,release_s,release_reason,release_event,capacity_retention_s
130,8,2,7,1,4404,335,1191.898295402,956289,5,1212.659295374,dack_expiry,hop_capacity_release,20.760999972000036
130,8,2,7,1,4440,337,1194.823295402,959240,5,1215.506295374,dack_expiry,hop_capacity_release,20.68299997200006
130,4,5,7,1,2278,326,1205.997292472,972406,2,1215.799292444,ack,hop_completion,9.801999971999976
130,8,2,7,1,4451,338,1195.434295402,959922,5,1215.935295374,dack_expiry,hop_capacity_release,20.500999971999818
130,8,2,7,1,4416,336,1193.328295402,957640,5,1216.286295374,dack_expiry,hop_capacity_release,22.957999971999925
130,4,5,8,1,2589,328,1215.799292472,982311,2,1216.839292444,ack,hop_completion,1.0399999720000324
130,8,2,8,1,4769,341,1212.659295402,979536,5,1217.827295346,ack,hop_completion,5.16799994400003
130,4,5,7,1,2271,324,1201.980292472,967780,1,1218.447000028,no_ack,hop_completion,16.466707556000074
130,8,2,8,1,4800,345,1217.827295374,985143,5,1218.789295346,ack,hop_completion,0.9619999720000578
130,7,8,7,1,6039,333,1198.164292498,963059,6,1219.15929247,dack_expiry,hop_capacity_release,20.994999972000187
130,8,2,7,1,4479,339,1197.813295402,962603,5,1219.861295374,dack_expiry,hop_capacity_release,22.04799997200007
130,7,8,7,1,6053,334,1200.393292498,965878,6,1221.33029247,dack_expiry,hop_capacity_release,20.936999971999967
130,8,2,7,1,4485,340,1202.220295402,968070,5,1222.747295374,dack_expiry,hop_capacity_release,20.526999972000112
130,8,2,8,1,4812,347,1219.861295402,987891,5,1223.755295346,ack,hop_completion,3.8939999439999156
130,4,5,8,1,2614,329,1215.799292472,982318,2,1226.520000028,no_ack,hop_completion,10.72070755599998
130,7,8,7,1,6139,337,1206.978292498,973685,6,1227.85629247,dack_expiry,hop_capacity_release,20.877999971999998
130,7,8,7,1,6076,336,1204.573292498,970779,6,1227.85629247,dack_expiry,hop_capacity_release,23.28299997199997
130,7,8,7,1,6147,338,1208.252292498,975167,6,1229.33829247,dack_expiry,hop_capacity_release,21.085999971999854
130,4,5,8,1,2591,331,1218.009292472,985505,2,1229.731000028,no_ack,hop_completion,11.721707555999956
130,7,8,7,1,6158,339,1209.981292498,976964,6,1233.13429247,dack_expiry,hop_capacity_release,23.15299997200009
130,8,2,7,1,4512,343,1215.935295402,982517,5,1236.618295374,dack_expiry,hop_capacity_release,20.682999971999834
130,8,2,7,1,4538,342,1215.506295402,982030,5,1236.618295374,dack_expiry,hop_capacity_release,21.11199997199992
130,8,2,7,1,4549,344,1216.286295402,983004,5,1236.995295374,dack_expiry,hop_capacity_release,20.70899997200013
130,4,5,4,1,4924,332,1229.731000056,999299,0,1240.460292444,ack,hop_completion,10.729292387999976
130,7,8,7,1,6170,340,1219.159292498,987259,5,1240.59629247,dack_expiry,hop_capacity_release,21.436999971999967
130,7,8,7,1,6179,341,1221.330292498,989779,5,1242.00029247,dack_expiry,hop_capacity_release,20.669999971999914
130,4,5,7,1,2367,333,1240.460292472,1009957,0,1244.542292444,ack,hop_completion,4.081999971999949
130,8,2,7,1,4607,349,1223.755295374,992442,5,1245.211295374,dack_expiry,hop_capacity_release,21.455999999999904
130,8,2,7,1,4578,348,1222.747295402,991224,5,1245.211295374,dack_expiry,hop_capacity_release,22.46399997200001
130,4,5,7,1,2368,334,1244.542292472,1015036,0,1246.765292444,ack,hop_completion,2.2229999719997977
130,4,5,7,1,2279,335,1246.765292472,1018078,0,1247.922292444,ack,hop_completion,1.1569999719999942
130,7,8,7,1,6192,342,1227.856292498,997122,5,1248.38329247,dack_expiry,hop_capacity_release,20.526999972000112
130,7,8,7,1,6245,343,1227.856292498,997129,5,1248.99429247,dack_expiry,hop_capacity_release,21.13799997199999
130,7,8,7,1,6264,344,1229.338292498,998753,5,1250.58029247,dack_expiry,hop_capacity_release,21.241999971999803
130,7,8,7,1,6276,345,1233.134292498,1003056,5,1254.25929247,dack_expiry,hop_capacity_release,21.12499997200007
130,8,2,7,1,4660,352,1236.995295402,1006767,5,1258.159295374,dack_expiry,hop_capacity_release,21.163999972000056
130,8,2,8,1,4945,355,1258.159295402,1029735,5,1258.972295346,ack,hop_completion,0.812999944000012
130,8,2,7,1,4637,350,1236.618295402,1006210,5,1259.576295374,dack_expiry,hop_capacity_release,22.957999971999925
130,8,2,8,1,4950,356,1258.972295374,1030509,5,1259.674295346,ack,hop_completion,0.7019999720000669
130,7,8,7,1,6291,346,1240.596292498,1010516,5,1261.37029247,dack_expiry,hop_capacity_release,20.773999972000183
